@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
7309,'Anagyris foetida',334635,120071,76.478,1.57,20987,7916.5,320007,96.468,106.517,38.239,60035,50.539,47677,7212146,637,7319,15321,645,0.803,0.923,956,607.5,9182.79,0.796,637,1219,5,0.906,0.82,6974365,2.514
13715,'Anagyris foetida',462.617,163.71,103.078,1588,31954,16434.5,438.172,132.146,147256,51.539,81855,67.823,107986,13253.478,0.63,6527,15.604,652,807,835,0.947,2719.5,16874852,813,0.63,1242,3,897,805,13252383,12997
10477,'Anagyris foetida',409144,139786,95389,1465,29826,13098,383.247,115.498,130235,47695,69893,57.846,66762,10472554,682,7.08,15978,0.683,826,0.8,937,2621,13334069,0.786,682,1271,6,887,0.786,10067856,18829
8929,'Anagyris foetida',372375,137179,81.754,1.678,29127,12552.5,357.432,106624,118531,40.877,68589,52.126,110772,8808161,596,4953,15.529,604,777,711,0.96,3623.5,11214899,0.796,596,1236,0.013,0.9,809,8556625,7926
8524,'Anagyris foetida',361.99,127413,85.173,1496,38371,15359,344.863,104178,115225,42.586,63706,51199,73.659,8523.219,0.668,5965,15373,669,818,555,953,6835,10852.099,785,0.668,1.223,8,904,0.817,8162.01,15.016
8895,'Anagyris foetida',367.12,122119,91.73,1331,29801,11433,346144,106421,116.858,45865,61059,53997,30525,8798021,0.751,9773,15.152,759,871,778,943,2538,11201.988,794,0.751,1206,4,0.911,0.829,8527.88,7476
8170,'Anagyris foetida',355848,122156,85.438,1.43,27996,10744,335.479,101992,113.27,42.719,61078,51394,49185,8197001,0.699,7.328,15499,0.697,835,0.76,943,2574,10436746,0.783,0.699,1.233,57,0.9,0.811,7814.152,7023
7805,'Anagyris foetida',344.877,123227,81892,1505,28.964,11213,330.2,99.688,109.778,40946,61614,51223,53.112,7925767,665,7029,15239,654,809,696,0.957,3408,10091.4,773,665,1213,4,0.908,825,7460.123,6407
8479,'Anagyris foetida',361.446,131469,81.026,1.623,31.9,13175.5,346.872,103.903,115052,40.513,65734,50615,92206,8366.36,616,5271,15408,625,0.79,644,0.96,4696.5,10652.38,0.796,616,1226,0.014,903,816,8117554,4.469
1586,'Anthyllis barba-jovis',182.409,65,36.59,1776,8.44,1723.5,159987,44937,58063,18295,32.5,23.792,26614,1867964,563,4612,20979,478,691,0.92,877,137.5,2378366,667,563,1669,25,774,599,1403.591,6.304
1549,'Anthyllis barba-jovis',189622,67.978,35.33,1.924,8.08,1725.5,164632,44.41,60.359,17665,33.989,24.14,36.432,1886253,0.52,3.999,23213,0.427,653,898,868,176.5,2401652,645,0.52,1847,32,736,541,1359378,4376
1042,'Anthyllis barba-jovis',230.492,67535,28454,2373,6245,1325,152559,36424,73368,14227,33768,19.89,52088,1509.278,0.421,2.756,50985,0.291,539,0.786,662,283,1921.673,542,0.421,4.057,259,496,0.246,811508,1903
1062,'Anthyllis barba-jovis',147.581,55227,27.8,1.987,7.02,1218,133498,36772,46.976,13.9,27.613,18.696,20961,1205826,503,4084,20509,0.443,0.666,872,905,156,1535305,0.692,503,1632,0.013,0.783,613,914419,5.132
