@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
?,?,64855,1,-0,0,744617,0.881,134,0.61,253,0,85,85,'Astragalus glycyphyllos'
?,?,59330,1,-0,0,999.733,848,0.167,634,231,0,85,85,'Astragalus glycyphyllos'
?,?,57545,1,-0,0,961732,855,192,615,224,0,85,85,'Astragalus glycyphyllos'
?,?,74460,1,-0,0,690747,0.891,306,708,290,0,85,85,'Astragalus glycyphyllos'
?,?,69530,1,-0,0,708.509,889,0.296,701,271,0,85,85,'Astragalus glycyphyllos'
?,?,80240,1,-0,0,721757,882,0.346,718,313,0,85,85,'Astragalus glycyphyllos'
28496,810.001,69420,998,0.014,0.000397,710023,889,287,0.689,271,0,85,230,'Astragalus glycyphyllos'
?,?,64685,1,-0,0,732183,884,304,701,252,0,85,85,'Astragalus glycyphyllos'
27.056,730.001,62614,997,15,0.000404,743505,882,306,0.694,244,0,85,224,'Astragalus glycyphyllos'
?,?,55165,1,-0,0,706794,0.89,276,672,215,0,85,85,'Astragalus glycyphyllos'
?,?,62475,1,-0,0,702868,885,344,727,244,0,85,85,'Astragalus glycyphyllos'
25826,665.001,57091,997,16,0.000456,802235,0.87,337,716,223,0,85,226,'Astragalus glycyphyllos'
?,?,52870,1,-0,0,744.583,884,0.286,684,206,0,85,85,'Astragalus glycyphyllos'
?,?,55760,1,-0,0,740263,883,302,698,217,0,85,85,'Astragalus glycyphyllos'
?,?,66300,1,-0,0,628393,0.881,469,0.791,258,0,85,85,'Astragalus glycyphyllos'
?,?,86020,1,-0,0,788039,857,442,769,336,0,85,85,'Astragalus glycyphyllos'
?,?,65620,1,-0,0,662.907,0.88,0.44,777,256,0,85,85,'Astragalus glycyphyllos'
14,194442,67789,0.99,0.056,1,709602,867,465,785,264,0,85,233,'Astragalus glycyphyllos'
?,?,56270,1,-0,0,835312,0.854,0.427,0.756,219,0,85,85,'Astragalus glycyphyllos'
?,?,69700,1,-0,0,694428,868,474,0.793,272,0,85,85,'Astragalus glycyphyllos'
?,?,62985,1,-0,0,776084,853,475,785,246,0,85,85,'Astragalus glycyphyllos'
?,?,64175,1,-0,0,758535,875,0.383,746,250,0,85,85,'Astragalus glycyphyllos'
?,?,57290,1,-0,0,674.833,0.874,0.464,789,223,0,85,85,'Astragalus glycyphyllos'
26.74,713.001,61156,997,15,0.00034,598.35,888,0.463,0.791,238,0,85,211,'Astragalus glycyphyllos'
?,?,64770,1,-0,0,661942,877,456,0.781,253,0,85,85,'Astragalus glycyphyllos'
?,?,57715,1,-0,0,712515,0.864,474,787,225,0,85,85,'Astragalus glycyphyllos'
?,?,67575,1,-0,0,771523,877,371,732,263,0,85,85,'Astragalus glycyphyllos'
19.38,373595,64601,995,0.029,0.000664,804567,872,364,0.724,252,0,85,214,'Astragalus glycyphyllos'
8242,66.08,67443,972,0.15,4,756852,0.881,353,718,263,0,85,237,'Astragalus glycyphyllos'
?,?,59160,1,-0,0,733096,862,466,0.783,231,0,85,85,'Astragalus glycyphyllos'
?,?,77775,1,-0,0,863.369,872,235,629,303,0,85,85,'Astragalus glycyphyllos'
?,?,73440,1,-0,0,620052,0.906,299,688,286,0,85,85,'Astragalus glycyphyllos'
?,?,70210,1,-0,0,733882,884,0.357,727,274,0,85,85,'Astragalus glycyphyllos'
